Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;AI;3,7;Q4;The App developer;1,8;-0,167;0,038;0,08
Q1;Data science;3;Q4;The mobile device producer;1,8;-0,204;0,011;0,079
Q1;GDPR;2,5;Q4;The mobile device producer;1,8;-0,004;0,961;0,081
Q1;GDPR;2,5;Q4;The App developer;1,8;-0,004;0,957;0,081
Q1;GDPR;2,5;Q4;The state;1,6;0,038;0,642;0,081
Q1;GDPR;2,5;Q4;Whoever was recorded;2,9;0,025;0,754;0,081
Q1;Hybrid reality;2,5;Q4;Me, I have recorded it;4,2;0,118;0,144;0,08
Q1;Hybrid reality;2,5;Q4;The mobile device producer;1,8;-0,145;0,071;0,08
Q1;Hybrid reality;2,5;Q4;The App developer;1,8;-0,144;0,074;0,08
Q1;Hybrid reality;2,5;Q4;The state;1,6;-0,107;0,184;0,08
Q1;Eye tracking;3,1;Q4;The mobile device producer;1,8;-0,202;0,012;0,079
Q1;Microsoft co-pilot;2,3;Q4;Me, I have recorded it;4,2;0,106;0,188;0,08
Q1;Microsoft co-pilot;2,3;Q4;The mobile device producer;1,8;-0,068;0,401;0,081
Q1;Microsoft co-pilot;2,3;Q4;The App developer;1,8;-0,07;0,384;0,081
Q1;Microsoft co-pilot;2,3;Q4;The state;1,6;0,023;0,772;0,081
Q1;Microsoft co-pilot;2,3;Q4;Whoever was recorded;2,9;0,112;0,166;0,08
Q1;Eye tracking;3,1;Q4;The App developer;1,8;-0,211;0,008;0,079
Q1;Personal data;3,8;Q4;The mobile device producer;1,8;-0,167;0,038;0,08
Q1;Personal data;3,8;Q4;The App developer;1,8;-0,149;0,065;0,08
Q1;Personal data;3,8;Q4;The state;1,6;-0,046;0,566;0,081
Q1;Personal data;3,8;Q4;Whoever was recorded;2,9;0,013;0,873;0,081
Q1;VR Glasses;3,6;Q4;Me, I have recorded it;4,2;0,128;0,113;0,08
Q1;VR Glasses;3,6;Q4;The mobile device producer;1,8;-0,195;0,015;0,079
Q1;VR Glasses;3,6;Q4;The App developer;1,8;-0,055;0,494;0,081
Q1;VR Glasses;3,6;Q4;The state;1,6;0,005;0,954;0,081
Q1;VR Glasses;3,6;Q4;Whoever was recorded;2,9;0,036;0,66;0,081
Q1;AI;3,7;Q5;Decide which data I share with whom;3,9;0,135;0,095;0,08
Q1;AI;3,7;Q5;Govern my data manually;3,1;0,044;0,589;0,081
Q1;AI;3,7;Q5;Let AI restrict other AI in collecting my data;3;0,097;0,231;0,08
Q1;AI;3,7;Q5;Sell my data upon payment;2,6;0,06;0,457;0,081
Q1;AI;3,7;Q5;Share data for a common good (non profit);3;0,083;0,304;0,081
Q1;AI;3,7;Q5;Share my data to increase my safety;3,3;0,098;0,223;0,08
Q1;AI;3,7;Q5;Share my data with AI;2,3;0,1;0,214;0,08
Q1;AI;3,7;Q5;Take ownership of my data;3,4;0,169;0,035;0,08
Q1;Chat GPT;3,9;Q5;Decide which data I share with whom;3,9;0,124;0,125;0,08
Q1;Chat GPT;3,9;Q5;Govern my data manually;3,1;0,1;0,214;0,08
Q1;Chat GPT;3,9;Q5;Let AI restrict other AI in collecting my data;3;0,107;0,183;0,08
Q1;Chat GPT;3,9;Q5;Sell my data upon payment;2,6;0,114;0,159;0,08
Q1;Chat GPT;3,9;Q5;Share data for a common good (non profit);3;-0,072;0,37;0,081
Q1;Chat GPT;3,9;Q5;Share my data to increase my safety;3,3;0,059;0,466;0,081
Q1;Chat GPT;3,9;Q5;Share my data with AI;2,3;0,002;0,982;0,081
Q1;Chat GPT;3,9;Q5;Take ownership of my data;3,4;0,198;0,014;0,079
Q1;Cookies;3,7;Q5;Decide which data I share with whom;3,9;-0,074;0,362;0,081
Q1;Cookies;3,7;Q5;Govern my data manually;3,1;0,069;0,397;0,081
Q1;Cookies;3,7;Q5;Let AI restrict other AI in collecting my data;3;0,019;0,81;0,081
Q1;Cookies;3,7;Q5;Sell my data upon payment;2,6;-0,016;0,842;0,081
Q1;Cookies;3,7;Q5;Share data for a common good (non profit);3;0,047;0,564;0,081
Q1;Cookies;3,7;Q5;Share my data to increase my safety;3,3;-0,054;0,506;0,081
Q1;Cookies;3,7;Q5;Share my data with AI;2,3;-0,053;0,511;0,081
Q1;Cookies;3,7;Q5;Take ownership of my data;3,4;-0,066;0,411;0,081
Q1;Data ownership;3,1;Q5;Decide which data I share with whom;3,9;0,035;0,668;0,081
Q1;Data ownership;3,1;Q5;Govern my data manually;3,1;0,131;0,104;0,08
Q1;Data ownership;3,1;Q5;Let AI restrict other AI in collecting my data;3;0,11;0,173;0,08
Q1;Data ownership;3,1;Q5;Sell my data upon payment;2,6;0,153;0,058;0,08
Q1;Data ownership;3,1;Q5;Share data for a common good (non profit);3;0,162;0,044;0,08
Q1;Data ownership;3,1;Q5;Share my data to increase my safety;3,3;0,018;0,826;0,081
Q1;Data ownership;3,1;Q5;Share my data with AI;2,3;0,088;0,277;0,081
Q1;Data ownership;3,1;Q5;Take ownership of my data;3,4;0,164;0,042;0,08
Q1;Data science;3;Q5;Decide which data I share with whom;3,9;0,03;0,71;0,081
Q1;Data science;3;Q5;Govern my data manually;3,1;0,098;0,226;0,08
Q1;Data science;3;Q5;Let AI restrict other AI in collecting my data;3;0,087;0,283;0,081
Q1;Data science;3;Q5;Sell my data upon payment;2,6;0,052;0,524;0,081
Q1;Data science;3;Q5;Share data for a common good (non profit);3;-0,026;0,751;0,081
Q1;Data science;3;Q5;Share my data to increase my safety;3,3;-0,068;0,399;0,081
Q1;Data science;3;Q5;Share my data with AI;2,3;-0,011;0,892;0,081
Q1;Data science;3;Q5;Take ownership of my data;3,4;0,068;0,403;0,081
Q1;Data sharing;3,7;Q5;Decide which data I share with whom;3,9;0,02;0,805;0,081
Q1;Data sharing;3,7;Q5;Govern my data manually;3,1;0,111;0,168;0,08
Q1;Data sharing;3,7;Q5;Let AI restrict other AI in collecting my data;3;0,111;0,168;0,08
Q1;Data sharing;3,7;Q5;Sell my data upon payment;2,6;0,094;0,244;0,08
Q1;Data sharing;3,7;Q5;Share data for a common good (non profit);3;0,029;0,724;0,081
Q1;Data sharing;3,7;Q5;Share my data to increase my safety;3,3;-0,092;0,254;0,081
Q1;Data sharing;3,7;Q5;Share my data with AI;2,3;0,034;0,678;0,081
Q1;Data sharing;3,7;Q5;Take ownership of my data;3,4;0,047;0,566;0,081
Q1;Eye tracking;3,1;Q5;Decide which data I share with whom;3,9;0,116;0,151;0,08
Q1;Eye tracking;3,1;Q5;Govern my data manually;3,1;0,109;0,179;0,08
Q1;Eye tracking;3,1;Q5;Let AI restrict other AI in collecting my data;3;0,189;0,019;0,079
Q1;Eye tracking;3,1;Q5;Sell my data upon payment;2,6;0,072;0,374;0,081
Q1;Eye tracking;3,1;Q5;Share data for a common good (non profit);3;-0,007;0,935;0,081
Q1;Eye tracking;3,1;Q5;Share my data to increase my safety;3,3;0,033;0,685;0,081
Q1;Eye tracking;3,1;Q5;Share my data with AI;2,3;0,031;0,706;0,081
Q1;Eye tracking;3,1;Q5;Take ownership of my data;3,4;0,119;0,139;0,08
Q1;GDPR;2,5;Q5;Decide which data I share with whom;3,9;0,063;0,433;0,081
Q1;GDPR;2,5;Q5;Govern my data manually;3,1;0,01;0,905;0,081
Q1;GDPR;2,5;Q5;Let AI restrict other AI in collecting my data;3;0,134;0,096;0,08
Q1;GDPR;2,5;Q5;Sell my data upon payment;2,6;-0,031;0,7;0,081
Q1;GDPR;2,5;Q5;Share data for a common good (non profit);3;0,19;0,018;0,079
Q1;GDPR;2,5;Q5;Share my data to increase my safety;3,3;0,103;0,204;0,08
Q1;GDPR;2,5;Q5;Share my data with AI;2,3;0,125;0,122;0,08
Q1;GDPR;2,5;Q5;Take ownership of my data;3,4;0,141;0,08;0,08
Q1;Hybrid reality;2,5;Q5;Decide which data I share with whom;3,9;0,039;0,626;0,081
Q1;Hybrid reality;2,5;Q5;Govern my data manually;3,1;0,06;0,457;0,081
Q1;Hybrid reality;2,5;Q5;Let AI restrict other AI in collecting my data;3;0,019;0,812;0,081
Q1;Hybrid reality;2,5;Q5;Sell my data upon payment;2,6;-0,021;0,792;0,081
Q1;Hybrid reality;2,5;Q5;Share data for a common good (non profit);3;0,174;0,031;0,08
Q1;Hybrid reality;2,5;Q5;Share my data to increase my safety;3,3;-0,005;0,95;0,081
